"name","lat","lon","gasoA","gasoB","gas95","gas98","id"
"BENZINUM",39.060639,-1.836806,1.059,,1.199,,13852
"INPEALSA",39.016361,-1.893944,1.069,,1.179,,4417
"INPEALSA",38.998222,-1.869889,1.079,,1.179,,4415
"INPEALSA",38.982167,-1.853306,1.079,,1.179,,4416
"INPEALSA",38.929389,-1.831639,1.069,,1.189,,5129
"ALCAMPO",39.009639,-1.878111,1.029,,1.121,1.25,9601
"EROSKI",38.988972,-1.847361,1.059,,1.151,1.28,4428
"REPSOL",38.994667,-1.871722,1.149,,1.229,1.349,5245
"CEPSA",38.98925,-1.849028,1.179,,,1.379,5313
"E.S.",39.012472,-1.889417,1.019,,,,10129
"PETROCAMP",38.985194,-1.866806,1.069,,,,5318
"CEPSA",38.646833,-1.978917,1.155,0.766,1.249,,4794
"EL JUCAR",39.203167,-1.433222,1.149,,1.239,,8097
"CAMPSA",38.673111,-2.492222,1.149,,1.199,1.319,5241
"REPSOL",38.808528,-2.327639,1.149,,1.199,1.319,5134
"REPSOL",38.874583,-1.100528,1.169,,1.229,1.339,4877
"CEPSA",38.879167,-1.098889,1.155,,1.229,1.344,4872
"CEPSA",38.859944,-1.08475,1.155,,1.229,,4788
"CEPSA",38.871556,-1.108,1.155,,1.229,,4798
"CEPSA",38.878278,-1.143722,1.155,,1.239,1.354,4799
"SHELL",38.875028,-1.17575,1.131,,1.219,1.359,4383
"GASÓLEOS S. ALMANSA",38.874083,-1.089278,1.099,,,,11931
"E.S. BALAZOTE S.L.",38.878028,-2.150639,1.169,0.855,1.229,,4396
"E.S. BARRAX S.L.",39.043139,-2.195139,1.169,0.855,1.229,1.395,4399
"COABA",39.051236,-2.192996,1.083,0.66,,,9254
"MEROIL",38.516417,-2.617667,1.11,,1.236,,11364
"REPSOL",38.875861,-1.3315,1.165,,1.235,1.335,5268
"REPSOL",38.876111,-1.331611,1.165,,1.235,1.335,5269
"CAMPSA",38.953361,-2.535056,1.149,0.824,1.219,1.359,5282
"GASOLINERAS DEL REY",39.100792,-1.560857,1.179,0.7,1.259,,4390
"CARMONED",39.283944,-1.477806,1.139,0.749,1.239,1.349,5204
"PARGA I",38.727472,-0.943,1.159,,1.255,1.375,5142
"GALP",38.708944,-0.982111,1.159,,1.269,1.401,5323
"BP OIL",38.728889,-0.939444,1.159,,1.264,1.385,9293
"REPSOL",38.756417,-0.955833,1.165,0.82,1.235,1.335,4820
"ES CAUDETE",38.68275,-0.946306,1.059,,1.229,1.329,4405
"TRANSPORTES CAUDETE",38.710861,-0.974778,1.079,0.773,,,12471
"REPSOL",38.803389,-1.731861,1.149,,1.219,1.343,5196
"REPSOL",38.937583,-1.758,1.165,,1.235,1.335,5170
"REPSOL",38.938611,-1.757611,1.165,,1.235,1.335,5171
"PETRONOR",38.915972,-1.726278,1.165,,1.235,1.335,5230
"CEPSA",38.898306,-1.502806,1.159,,1.249,1.379,4800
"CEPSA",38.921583,-1.583694,1.159,,1.239,,4786
"CAMPSA",38.451306,-2.044778,1.159,0.824,1.229,1.369,5255
"Nº 7374",38.689833,-1.433306,,0.669,1.239,1.369,4422
"ES SAN ANTONIOABAD. FUENTEALBILLA",39.269972,-1.548639,1.079,0.679,1.189,,4403
