"name","lat","lon","gasoA","gasoB","gas95","gas98","id"
"PREMIRA ENERGIA NORTE, S.L.",42.846028,-2.509361,1.169,0.726,,,9381
"ESTACIONES GB",43.044333,-2.989111,1.119,,1.229,1.299,13543
"CEPSA",43.031889,-2.967611,1.189,,1.265,1.38,45
"(SIN RÓTULO)",42.753194,-2.477917,1.095,,1.23,1.305,8060
"CEPSA",42.941417,-2.639528,1.189,,1.265,1.38,43
"AVIA",42.876861,-2.616361,1.189,,1.269,1.369,16
"AVIA ",43.123361,-3.122528,1.169,0.849,1.259,1.369,5
"ADS",42.870861,-2.312056,1.115,,,,12441
"CEPSA",42.866417,-2.278694,1.159,,1.229,,50
"PETRONOR",42.670222,-2.357278,1.119,0.839,1.249,,114
"REPSOL",42.878556,-2.518167,1.219,,1.309,1.433,100
"GAS NATURAL FENOSA",42.824389,-2.770694,,,,,13427
"PETRONIEVES",42.82525,-2.77475,1.037,0.852,,,13757
"EUROCAM",42.823778,-2.77225,1.057,,1.167,,11732
"REPSOL",42.635194,-2.849833,1.169,0.898,1.259,1.399,51
"REPSOL",42.547639,-2.578806,1.159,0.898,1.249,,83
"AVIA",42.755583,-3.04575,1.07,,1.16,,24
"EROSKI",43.138,-2.968,1.129,,1.219,1.253,32
"PETRONOR",43.148639,-2.951361,1.179,,1.259,1.399,88
"E.S. OION",42.490611,-2.432278,1.179,0.859,1.239,1.379,12419
"E.S. TOCALU S.L.",42.81125,-2.901944,1.089,0.739,1.209,,148
"PETRONOR",42.741361,-2.913222,1.219,,1.309,1.449,107
"PETRONOR",42.743111,-2.913306,1.219,,1.309,1.449,106
"EESS ROMPETROL",42.692917,-2.920667,1.169,,1.239,1.339,11651
"EROSKI",42.704639,-2.917639,1.07,,1.16,1.339,33
"SHELL",42.710639,-2.906944,1.209,,1.299,,8374
"ALAVESA",42.852694,-2.379083,1.089,0.779,1.199,,13950
"GALP",42.848944,-2.394583,1.164,0.853,1.258,1.358,66
"ANDAMUR ""SAN ROMAN""",42.8635,-2.320361,1.189,0.91,1.281,1.411,11
"VALCARCE",42.871167,-2.314083,1.179,,,,12266
"IS-XXI",42.863583,-2.324083,1.219,0.91,1.281,,12644
"REPSOL",42.849778,-2.648306,1.189,,1.269,1.369,142
"GALP",42.836778,-2.698917,1.164,,1.25,1.379,26
"ARMENTIA",42.837111,-2.700972,1.099,,1.199,,13064
"REPSOL",42.842833,-2.682278,1.179,,1.259,1.389,133
"CEPSA",42.849028,-2.693722,1.189,,1.265,1.38,8125
"AVIA",42.863778,-2.712722,1.189,,1.269,1.369,12416
"AVIA",42.864944,-2.7105,1.167,,1.255,1.358,22
"CEPSA",42.852417,-2.709972,1.189,,1.265,1.38,11010
"ONAINDIA",42.857194,-2.716389,1.175,0.79,1.265,1.375,12105
"EROSKI",42.854694,-2.708611,1.089,,1.189,,12997
"CEPSA",42.836833,-2.658222,1.189,,1.265,1.38,56
"REPSOL",42.838722,-2.6645,1.179,,1.259,1.399,47
"REPSOL",42.864667,-2.660222,1.189,,1.269,1.369,141
"PETRONOR",42.859278,-2.661694,1.189,,1.269,1.369,59
"ONAINDIA",42.868611,-2.678833,1.175,,1.265,1.375,12104
"SHELL",42.864694,-2.653139,1.185,,1.269,1.409,10163
"SHELL",42.865278,-2.661139,1.195,,1.279,1.419,9927
"BP  VITORIA",42.856194,-2.656861,1.189,,1.279,1.421,11531
"ESASA",42.855,-2.672944,1.129,,1.219,1.339,7983
"EROSKI",42.860306,-2.664278,1.099,,1.199,,34
