"name","lat","lon","gasoA","gasoB","gas95","gas98","id"
"ALCAMPO",39.009639,-1.878111,1.129,,1.229,1.315,9601
"INLOCOR S.L. ""CEPSA""",38.998111,-1.831611,1.279,0.949,1.349,1.469,4790
"CEPSA",39.015444,-1.871361,1.279,,1.349,1.469,13620
"ENERCOM CARBURANTES",39.018,-1.874333,1.249,,1.309,1.419,12801
"AB OIL",39.021778,-1.886278,1.218,,1.298,1.368,4413
"INPEALSA",39.016361,-1.893944,1.219,,1.309,,4417
"REPSOL",39.031528,-1.891361,1.319,,1.369,1.509,11087
"E.S.",39.012472,-1.889417,1.209,,,,10129
"FAST & GAS",39.009417,-1.885694,1.209,,1.299,,12763
"VALERO 24H",39.021583,-1.886556,1.199,,1.289,,13930
"BENZINUM",39.060639,-1.836806,1.199,,1.269,,13852
"GMOIL",39.022139,-1.882056,1.135,,1.245,,13369
"CEPSA",39.059806,-1.93325,1.299,,1.369,1.484,5173
"CEPSA",39.060528,-1.933056,1.299,,1.376,1.491,5174
"CEPSA",38.646833,-1.978917,1.279,0.899,1.349,,4794
"EL JUCAR",39.203167,-1.433222,1.259,,1.339,,8097
"CAMPSA",38.673111,-2.492222,1.279,,1.339,1.479,5241
"REPSOL",38.808528,-2.327639,1.279,,1.339,1.479,5134
"SHELL",38.875028,-1.17575,1.289,,1.369,1.509,4383
"CEPSA",38.871556,-1.108,1.299,,1.369,,4798
"GASOLINERA LOW COST PENADES",38.850278,-1.027694,1.215,0.869,1.299,,14129
"GASÓLEOS S. ALMANSA",38.874083,-1.089278,1.259,,,,11931
"CEPSA",38.879167,-1.098889,1.299,,1.369,1.484,4872
"REPSOL",38.874583,-1.100528,1.289,,1.349,1.489,4877
"CEPSA",38.878278,-1.143722,1.299,,1.383,1.498,4799
"CEPSA",38.859944,-1.08475,1.299,,1.369,,4788
"E.S. BALAZOTE S.L.",38.878028,-2.150639,1.269,0.929,1.369,,4396
"COABA",39.051236,-2.192996,1.214,0.794,,,9254
"E.S. BARRAX S.L.",39.043139,-2.195139,1.269,0.929,1.369,,4399
"MEROIL",38.516417,-2.617667,1.159,,1.268,,11364
"REPSOL",38.876111,-1.331611,1.309,,1.369,1.499,5269
"REPSOL",38.875861,-1.3315,1.309,,1.369,1.499,5268
"CAMPSA",38.953361,-2.535056,1.289,0.965,1.349,1.489,5282
"GASOLINERAS DEL REY",39.100792,-1.560857,1.279,0.799,1.349,,4390
"CARMONED",39.283944,-1.477806,1.249,0.879,1.339,1.439,5204
"GALP",38.708944,-0.982111,1.269,,1.369,1.509,5323
"BP OIL",38.721917,-0.933861,1.259,,1.359,1.501,9293
"REPSOL",38.756417,-0.955833,1.309,0.961,1.369,1.499,4820
"TRANSPORTES CAUDETE",38.710861,-0.974778,1.185,0.829,,,12471
"PARGA I",38.727472,-0.943,1.289,,1.379,1.519,5142
"VILA Y FAYOS ",38.711694,-0.971639,1.189,0.832,1.289,,14203
"PETRONOR",38.915972,-1.726278,1.289,,1.329,1.469,5230
"REPSOL",38.937583,-1.758,1.309,,1.369,1.499,5170
"REPSOL",38.938611,-1.757611,1.309,,1.369,1.499,5171
"REPSOL",38.803389,-1.731861,1.289,,1.349,1.473,5196
"CEPSA",38.898306,-1.502806,1.299,,1.369,1.499,4800
"CEPSA",38.921583,-1.583694,1.284,,1.376,,4786
"CAMPSA",38.451306,-2.044778,1.289,0.965,1.349,1.489,5255
"Nº 7374",38.689833,-1.433306,,0.819,1.369,1.479,4422
"ES SAN ANTONIOABAD. FUENTEALBILLA",39.269972,-1.548639,1.199,0.789,1.289,,4403
"REPSOL",39.086278,-1.963944,1.319,,1.369,1.509,4841
"CAMPSA",39.107667,-1.990194,1.289,,1.349,1.469,5237
"CEPSA",39.238111,-1.635111,1.289,,1.369,1.485,4789
"CEPSA",38.417306,-1.571667,1.299,,1.369,1.484,5312
"PETRONOR",38.506806,-1.687833,1.289,,1.349,1.479,4831
"CARBURANTES GARCIA LOZANO",38.528306,-1.706972,1.259,,1.319,,4869
"PETROGAS",38.532389,-1.694889,1.208,,1.298,,13229
"E.S. MADRIGUERAS ",38.526528,-1.708944,1.219,,,,10171
"PETRONOR",38.641722,-1.844139,1.138,0.769,1.269,,5113
"MULTSER-OIL",38.502528,-1.677694,1.208,,1.298,,14148
"REPSOL",38.502889,-1.714556,1.289,,1.349,1.479,4806
"REPSOL",38.524444,-1.703056,1.289,,1.349,1.479,5135
"HELLIN GAS S.L.",38.495972,-1.636389,1.229,0.969,1.349,1.459,11181
"BP",38.511222,-1.696972,1.279,,1.349,1.459,4423
"GALP",38.46425,-1.596722,1.289,,1.359,1.489,10575
"IDS",38.545111,-1.705389,1.334,,,,11142
"REPSOL",38.491861,-1.741111,1.289,0.965,1.349,1.479,5163
"E.S. SIERRA DEL SEGURA",38.356556,-2.111056,1.226,0.856,1.298,1.405,4393
"E.S. VIRGEN DE LA CRUZ",38.948472,-2.354861,1.269,,1.349,,4371
"REPSOL",39.233056,-1.799472,1.279,0.97,1.349,1.489,5232
"E.S. MADRIGUERAS",39.226611,-1.800611,1.229,,1.329,,10983
"REPSOL",39.276056,-2.330333,1.289,0.889,1.359,1.489,5277
"LOS CORRALES",38.785917,-1.33025,1.279,,1.359,,5202
"INPEALSA",39.043806,-2.485028,1.229,,1.319,,5213
"CAMPSA",38.151167,-2.293444,1.279,0.965,1.349,1.469,5265
"CAMPSA",38.622944,-1.497667,1.279,0.965,1.339,1.463,10619
"ONTALBA S. COOP DE C-LM",38.609556,-1.508333,1.14,0.79,,,11340
"REPSOL",38.967167,-2.7515,1.289,0.965,1.349,1.489,5270
"CEPSA",38.828806,-1.553694,1.299,0.929,1.369,,4791
"E.S. LEDAÑA ",38.805278,-1.736389,1.229,,,,11977
"REPSOL",38.717556,-1.91075,1.299,0.929,1.379,,5238
"SAT SANTA CRUZ DE POZO LORENTE",39.081278,-1.512611,1.195,0.755,,,12334
"INLOCOR S.L.",38.804722,-2.098778,1.279,0.949,1.339,1.459,4410
"CEPSA",38.493528,-2.411444,1.299,,1.369,1.484,4793
"CANOIL",38.771194,-2.450028,1.249,,1.309,,4370
"CASA JUANITO RESTAURANTE",39.212361,-2.171028,1.299,,1.382,,4891
"CEPSA",39.212861,-2.171778,1.299,,1.369,1.484,11279
"REPSOL",39.212972,-2.166444,1.319,,1.369,1.509,11427
"GALP",39.143972,-2.05125,1.299,,1.369,1.499,5317
"GALP",39.225,-2.186083,1.299,,1.369,1.499,5316
"REPSOL",39.201667,-2.149,1.289,,1.349,1.489,4894
"CAMPSA",39.213722,-2.156667,1.289,,1.349,1.489,5162
"GASPLAY",39.218389,-2.158028,1.179,,1.269,,13480
"NAVARRO Y VALERO, S.L",38.331361,-1.981861,1.269,0.959,1.349,1.479,4392
"REPSOL",39.25975,-1.911389,1.289,,1.349,,5284
"LA GAVIOTA GASOLINERAS",39.256194,-1.912194,1.168,,1.249,,12953
"REPSOL",38.602278,-1.680917,1.299,0.969,1.379,1.509,5219
"E.S. TOBARRA",38.594639,-1.685417,1.289,,1.379,1.489,11399
"SAN ROQUE DE TOBARRA S. COOP. DE C-LM",38.603306,-1.694083,1.15,0.8,,,12786
"NTRA. SRA. DE LA ENCARNACION",38.601722,-1.680833,1.169,,1.269,,13778
"Nº 15.526",39.131944,-1.679528,1.279,0.849,1.349,1.38,4391
"RESTAURANTE LAS POLAS",39.302389,-2.067639,1.209,,1.309,,4895
"REPSOL",39.366861,-1.592778,1.289,0.937,1.349,1.489,5258
"REPSOL",38.581722,-2.626222,1.279,0.959,1.369,1.399,4893
"ESTACIÓN DE SERVICIO AVENIDA DEL OESTE",39.27225,-2.617083,1.279,0.909,1.336,1.409,4368
"BP OIL ESPAÑA, S.A.",39.277056,-2.591722,1.279,,1.319,1.459,11976
"REPSOL",39.278222,-2.602028,1.279,0.959,1.329,1.459,5305
"REPSOL",39.258778,-2.586778,1.294,,1.364,1.478,11797
"REPSOL",39.293722,-2.567139,1.269,,1.339,1.439,5167
"REPSOL",39.257528,-2.613778,1.279,0.966,1.349,1.449,5123
"VEN Y VEN OIL",39.276944,-2.590028,1.229,,1.299,1.389,12015
"CARREFOUR",39.285722,-2.579639,1.259,,1.329,1.409,4442
"CEPSA",39.261472,-2.599417,1.289,0.959,1.363,,4785
"GALP",39.272056,-2.594111,1.259,,1.319,,5327
"CEPSA",39.205194,-2.708528,1.299,,1.369,1.484,12146
"CEPSA",39.198,-2.713722,1.299,1.019,1.369,1.484,5184
"CEPSA",38.368667,-2.314667,1.299,,1.369,,4796
"CAMPSA",38.368278,-2.30225,,0.965,,,4439
"PETRONOR",38.434417,-0.63725,1.279,0.975,1.379,,3683
"GALP",38.408861,-0.599444,1.324,,1.429,1.544,11305
"GALP",38.406528,-0.599972,1.324,,1.429,1.544,11306
"VALCARCE",38.429417,-0.66225,1.299,0.897,1.375,1.504,9478
"REPSOL",38.165222,-0.89475,1.289,0.959,1.389,1.499,3588
"REPSOL",38.199417,-0.848722,1.289,,1.389,1.499,3589
"SUVER GASOLEOS ",38.168111,-0.889167,1.229,,1.329,,14191
"CEPSA",38.199389,-0.848833,1.286,0.949,1.379,,3565
"REPSOL",38.175028,-0.854056,1.309,0.965,1.389,1.489,3692
"MAS OIL ALCOY",38.689083,-0.479694,1.209,,1.309,,13370
"PETROMAX",38.689389,-0.480139,1.189,,1.279,1.419,14115
"SHELL",38.688639,-0.479611,1.239,,1.319,1.469,9298
"GALP",38.695083,-0.477972,1.184,,1.264,1.414,3713
"GALP",38.683389,-0.471306,1.234,,1.314,1.464,3728
"PETRONOR",38.691889,-0.489611,1.269,,1.359,1.499,3586
"REPSOL",38.714361,-0.462528,1.269,,1.359,1.499,3475
"REPSOL",38.70875,-0.472556,1.269,,1.359,1.499,11428
"GASEXPRESS",38.711556,-0.46625,1.159,,1.249,,14200
"ARBIT",38.581361,-0.105389,1.268,,1.378,1.478,3623
"GALP",38.567722,-0.082972,1.259,,1.354,1.494,3733
"BP",38.058389,-0.746611,1.285,,1.385,1.527,11929
"CEPSA",38.339222,-0.998222,1.299,0.959,1.389,,3416
"LOW GAS PLUS",38.463056,-0.471417,1.189,,1.279,1.429,3724
"LOW GAS PLUS",38.462833,-0.470139,1.189,,1.279,1.429,3723
"REPSOL",38.351361,-0.487472,1.279,,1.409,,3643
"REPSOL",38.357,-0.47675,1.279,,1.409,,3673
"BP OIL ESPAÑA",38.359278,-0.466972,1.289,,1.389,1.531,10940
"BP OIL ESPAÑA",38.359667,-0.467361,1.289,,1.389,1.531,10941
"REPSOL",38.375333,-0.499444,1.269,,1.389,1.529,12283
"REPSOL",38.376194,-0.508861,1.269,,1.389,1.529,3690
"GM OIL",38.377722,-0.504722,1.129,,1.225,,12649
"SHELL",38.374139,-0.506833,1.249,,1.349,1.499,8379
"REPSOL",38.370222,-0.4975,1.269,,1.389,1.529,3550
"CEPSA",38.355528,-0.487889,1.289,,1.399,,3431
"REPSOL",38.364222,-0.494306,1.269,,1.389,,10245
"REPSOL",38.358556,-0.483944,1.279,,1.409,1.539,3593
"CEPSA",38.375111,-0.486944,1.289,,1.385,1.5,3421
"ALCAMPO",38.370694,-0.466806,1.119,,1.215,1.388,13283
"CEPSA",38.363639,-0.434556,1.289,,1.385,1.5,3417
"VISTAHERMOSA",38.375472,-0.453806,1.289,,1.389,1.531,3603
"GALP",38.37,-0.446667,1.279,,1.369,1.499,8300
"LA GOTETA",38.355389,-0.472306,1.279,,1.386,1.501,3580
"REPSOL",38.401,-0.47775,1.269,,1.399,1.539,3470
"CAMPSA",38.378083,-0.488194,1.269,,1.389,1.529,3695
"AVANZA",38.383583,-0.48975,1.158,,1.245,,13568
"GASEXPRESS",38.375972,-0.498972,1.149,,1.245,,13572
"E.S. REJAS VERDES",38.370083,-0.486611,1.278,,1.377,1.52,10710
"PETROPRIX",38.376944,-0.499722,1.139,,1.235,,13585
"REPSOL",38.38625,-0.447417,1.289,,1.399,1.519,3680
"FEROYL",38.385639,-0.449972,1.269,,1.368,1.499,13759
"CONFORT AUTO",38.344,-0.524194,1.249,,1.339,1.419,11716
"PETRONOR",38.344944,-0.523167,1.279,,1.379,1.509,3684
"REPSOL",38.344611,-0.522944,1.279,,1.379,1.509,11474
"PETROALACANT",38.34825,-0.555389,1.248,0.919,1.338,1.475,9191
"SHELL",38.345583,-0.517889,1.259,,1.369,1.519,9119
"BALLENOIL",38.345056,-0.522278,1.199,,1.299,,13593
"CEPSA",38.343611,-0.545111,1.289,,1.383,,3406
"PETROPRIX",38.303611,-0.521389,1.168,,1.245,,13584
"CEPSA",38.337778,-0.500389,1.289,,1.385,1.5,3412
"TAMOIL",38.335861,-0.512472,1.248,,1.348,1.408,3731
"GALP",38.330583,-0.5135,1.269,,1.369,1.489,3729
