"name","lat","lon","gasoA","gasoB","gas95","gas98","id"
"REPSOL",42.846028,-2.509361,1.159,0.726,,,9381
"ESTACIONES GB",43.044333,-2.989111,1.099,,1.219,1.299,13543
"CEPSA",43.031889,-2.967611,1.149,,1.255,1.37,45
"(SIN RÓTULO)",42.753194,-2.477917,1.065,,1.215,1.295,8060
"CEPSA",42.941417,-2.639528,1.169,,1.259,1.374,43
"AVIA",42.876861,-2.616361,1.155,,1.259,1.359,16
"AVIA ",43.123361,-3.122528,1.155,0.815,1.255,1.375,5
"ADS",42.870861,-2.312056,1.077,,,,12441
"CEPSA",42.866417,-2.278694,1.119,,1.199,,50
"PETRONOR",42.670222,-2.357278,1.099,0.819,1.249,,114
"REPSOL",42.878556,-2.518167,1.169,,1.285,1.409,100
"EUROCAM",42.823778,-2.77225,1.039,,1.153,,11732
"GAS NATURAL FENOSA",42.824389,-2.770694,,,,,13427
"PETRONIEVES",42.82525,-2.77475,1.014,0.832,,,13757
"REPSOL",42.635194,-2.849833,1.139,0.855,1.259,1.399,51
"REPSOL",42.547639,-2.578806,1.119,0.855,1.219,,83
"AVIA",42.755583,-3.04575,1.05,,1.17,,24
"EROSKI",43.138,-2.968,1.089,,1.209,1.243,32
"PETRONOR",43.148639,-2.951361,1.139,,1.259,1.399,88
"E.S. OION",42.490611,-2.432278,1.129,0.829,1.219,1.339,12419
"E.S. TOCALU S.L.",42.81125,-2.901944,1.089,0.739,1.209,,148
"PETRONOR",42.741361,-2.913222,1.169,,1.259,1.379,107
"PETRONOR",42.743111,-2.913306,1.169,,1.259,1.379,106
"EROSKI",42.704639,-2.917639,1.02,,1.16,1.17,33
"SHELL",42.710639,-2.906944,1.179,,1.291,,8374
"EESS ROMPETROL",42.692917,-2.920667,1.159,,1.239,1.339,11651
"GALP",42.848944,-2.394583,1.149,0.935,1.245,1.345,66
"ALAVESA",42.852694,-2.379083,1.069,0.809,1.199,,13950
"IS-XXI",42.863583,-2.324083,1.169,0.877,1.277,,12644
"ANDAMUR ""SAN ROMAN""",42.8635,-2.320361,1.175,0.877,1.277,1.397,11
"VALCARCE",42.871167,-2.314083,1.159,,,,12266
"REPSOL",42.849778,-2.648306,1.159,,1.259,1.359,142
"ARMENTIA",42.837111,-2.700972,1.059,,1.189,,13064
"GALP",42.836778,-2.698917,1.139,,1.269,1.349,26
"REPSOL",42.842833,-2.682278,1.159,,1.259,1.379,133
"AVIA",42.864944,-2.7105,1.159,,1.259,1.358,22
"AVIA",42.863778,-2.712722,1.155,,1.259,1.359,12416
"CEPSA",42.849028,-2.693722,1.169,,1.259,1.374,8125
"CEPSA",42.852417,-2.709972,1.169,,1.259,1.374,11010
"ONAINDIA",42.857194,-2.716389,1.173,0.75,1.253,1.353,12105
"EROSKI",42.854694,-2.708611,1.049,,1.179,,12997
"REPSOL",42.838722,-2.6645,1.159,,1.259,1.379,47
"CEPSA",42.836833,-2.658222,1.156,,1.259,1.374,56
"EROSKI",42.860306,-2.664278,1.049,,1.155,,34
"REPSOL",42.864667,-2.660222,1.159,,1.259,1.359,141
"PETRONOR",42.859278,-2.661694,1.159,,1.259,1.359,59
"SHELL",42.864694,-2.653139,1.179,,1.275,1.415,10163
"SHELL",42.865278,-2.661139,1.189,,1.285,1.425,9927
"ONAINDIA",42.868611,-2.678833,1.173,,1.253,1.353,12104
"BP  VITORIA",42.856194,-2.656861,1.179,,1.279,1.439,11531
"ESASA",42.855,-2.672944,1.119,,1.209,1.319,7983
"PETRONOR",42.857472,-2.721583,1.169,,1.259,1.359,136
"REPSOL",42.852722,-2.632167,1.159,,1.259,1.359,131
"EDP",42.860083,-2.703306,,,,,13549
