"name","lat","lon","gasoA","gasoB","gas95","gas98","id"
"PREMIRA ENERGIA NORTE, S.L.",42.846028,-2.509361,1.149,0.726,,,9381
"ESTACIONES GB",43.044333,-2.989111,1.119,,1.209,1.299,13543
"CEPSA",43.031889,-2.967611,1.184,,1.259,1.374,45
"(SIN RÓTULO)",42.753194,-2.477917,1.095,,1.235,1.315,8060
"CEPSA",42.941417,-2.639528,1.184,,1.269,1.384,43
"AVIA",42.876861,-2.616361,1.179,,1.269,1.369,16
"AVIA ",43.123361,-3.122528,1.159,0.83,1.259,1.359,5
"ADS",42.870861,-2.312056,1.12,,,,12441
"CEPSA",42.866417,-2.278694,1.149,,1.209,,50
"PETRONOR",42.670222,-2.357278,1.109,0.819,1.249,,114
"REPSOL",42.878556,-2.518167,1.215,,1.299,1.423,100
"PETRONIEVES",42.82525,-2.77475,1.038,0.852,,,13757
"EUROCAM",42.823778,-2.77225,1.053,,1.137,,11732
"GAS NATURAL FENOSA",42.824389,-2.770694,,,,,13427
"REPSOL",42.635194,-2.849833,1.169,0.897,1.259,1.399,51
"REPSOL",42.547639,-2.578806,1.169,0.897,1.249,,83
"AVIA",42.755583,-3.04575,1.07,,1.17,,24
"PETRONOR",43.148639,-2.951361,1.185,,1.269,1.409,88
"EROSKI",43.138,-2.968,1.109,,1.219,1.243,32
"E.S. OION",42.490611,-2.432278,1.159,0.829,1.239,1.339,12419
"E.S. TOCALU S.L.",42.81125,-2.901944,1.089,0.739,1.209,,148
"PETRONOR",42.741361,-2.913222,1.209,,1.279,1.399,107
"PETRONOR",42.743111,-2.913306,1.209,,1.279,1.399,106
"EROSKI",42.704639,-2.917639,1.04,,1.16,1.17,33
"EESS ROMPETROL",42.692917,-2.920667,1.169,,1.239,1.339,11651
"SHELL",42.710639,-2.906944,1.198,,1.294,,8374
"GALP",42.848944,-2.394583,1.154,0.859,1.249,1.349,66
"ALAVESA",42.852694,-2.379083,1.089,0.759,1.179,,13950
"IS-XXI",42.863583,-2.324083,1.215,0.904,1.277,,12644
"VALCARCE",42.871167,-2.314083,1.179,,,,12266
"ANDAMUR ""SAN ROMAN""",42.8635,-2.320361,1.179,0.909,1.281,1.411,11
"REPSOL",42.849778,-2.648306,1.189,,1.269,1.369,142
"GALP",42.836778,-2.698917,1.142,,1.264,1.384,26
"ARMENTIA",42.837111,-2.700972,1.079,,1.189,,13064
"REPSOL",42.842833,-2.682278,1.179,,1.279,1.379,133
"CEPSA",42.852417,-2.709972,1.184,,1.269,1.384,11010
"ONAINDIA",42.857194,-2.716389,1.165,0.77,1.265,1.365,12105
"AVIA",42.864944,-2.7105,1.165,,1.265,1.368,22
"AVIA",42.863778,-2.712722,1.179,,1.269,1.369,12416
"CEPSA",42.849028,-2.693722,1.179,,1.266,1.381,8125
"EROSKI",42.854694,-2.708611,1.069,,1.179,,12997
"REPSOL",42.838722,-2.6645,1.179,,1.279,1.379,47
"CEPSA",42.836833,-2.658222,1.169,,1.259,1.374,56
"ONAINDIA",42.868611,-2.678833,1.165,,1.265,1.365,12104
"BP  VITORIA",42.856194,-2.656861,1.179,,1.279,1.429,11531
"PETRONOR",42.859278,-2.661694,1.189,,1.269,1.369,59
"ESASA",42.855,-2.672944,1.119,,1.209,1.309,7983
"SHELL",42.864694,-2.653139,1.179,,1.269,1.409,10163
"SHELL",42.865278,-2.661139,1.189,,1.279,1.419,9927
"REPSOL",42.864667,-2.660222,1.189,,1.269,1.369,141
"EROSKI",42.860306,-2.664278,1.069,,1.155,,34
"PETRONOR",42.857472,-2.721583,1.179,,1.279,1.379,136
"REPSOL",42.852722,-2.632167,1.189,,1.269,1.369,131
"EDP",42.860083,-2.703306,,,,,13549
"CEPSA ",42.818944,-2.778694,1.205,,1.299,1.429,42
"CEPSA",42.845639,-2.741917,1.184,,1.269,,11090
"IBAIA ENERGY",42.829528,-2.722278,1.089,,1.199,,41
"AVIA",42.895667,-2.702278,1.179,,1.269,1.369,3
"REPSOL",42.878694,-2.714472,1.215,0.892,1.299,1.429,49
"REPSOL",42.877139,-2.712472,1.215,0.902,1.299,1.429,48
"REPSOL",42.966472,-2.873583,1.209,,1.279,1.399,105
"PETRONOR",42.966111,-2.870083,1.209,,1.279,1.399,104
"CEPSA",42.961583,-2.827722,1.189,,1.274,1.389,120
"Nº 10.935",39.211417,-1.539167,1.169,0.729,1.243,,4375
"REPSOL",39.100389,-1.346083,1.199,,1.289,1.459,5122
"GHC ",39.000861,-1.849833,1.099,,1.199,,13933
"CARREFOUR",38.985667,-1.8685,1.169,,1.249,1.369,10765
"SHELL",39.054694,-1.832,1.186,0.777,1.259,1.385,12054
"TAMOS",39.003333,-1.864917,1.179,,1.239,1.369,4369
"REPSOL",38.999722,-1.854556,1.209,,1.259,1.389,5195
"CEPSA",38.98925,-1.849028,1.199,,,1.399,5313
"REPSOL",38.988111,-1.883694,1.189,,1.269,1.399,5222
"REPSOL",38.925833,-2.031861,1.199,0.875,1.299,1.445,5116
"REPSOL",39.033139,-1.845083,1.199,,1.255,1.395,5289
"LA PULGOSA",38.963972,-1.875944,1.177,,1.267,1.377,4372
"EROSKI",38.988972,-1.847361,1.069,,1.169,1.289,4428
"REPSOL",39.027778,-1.892972,1.209,,1.285,1.405,5208
"REPSOL",38.994667,-1.871722,1.199,,1.269,1.399,5245
"REPSOL",39.012583,-1.874972,1.209,,1.249,1.369,5191
"CEPSA",38.984139,-1.847083,1.199,,1.269,,4795
"INPEALSA",38.982167,-1.853306,1.149,,1.239,,4416
"PETROCAMP",38.985194,-1.866806,1.129,,,,5318
"INPEALSA",38.998222,-1.869889,1.149,,1.239,,4415
"INPEALSA",38.929389,-1.831639,1.139,,1.229,,5129
"CEPSA",38.970167,-1.919778,1.229,,1.289,1.409,11048
"REPSOL",38.900944,-1.994028,1.199,0.897,1.269,1.379,5272
"LOZANO",38.867556,-1.9205,1.167,0.745,1.247,1.357,4394
"CEPSA",38.923889,-1.915694,1.219,,1.299,1.402,4797
"ENERCOM CARBURANTES",39.018,-1.874333,1.159,,1.239,1.359,12801
"LOS ANGELES DE LA MANCHA, S.L.",38.971722,-1.845278,1.179,,1.249,1.389,9546
"LOS ANGELES DE LA MANCHA",38.971778,-1.845306,1.179,,1.249,1.389,11297
"INLOCOR S.L. ""CEPSA""",38.998111,-1.831611,1.199,0.849,1.279,1.399,4790
"ALCAMPO",39.009639,-1.878111,1.039,,1.139,1.259,9601
"AB OIL",39.021778,-1.886278,1.109,,1.199,1.339,4413
"REPSOL",39.031528,-1.891361,1.225,,1.285,1.415,11087
"CEPSA",39.015444,-1.871361,1.209,,1.259,1.369,13620
"E.S.",39.012472,-1.889417,1.109,,,,10129
"FAST & GAS",39.009417,-1.885694,1.119,,1.209,,12763
"VALERO 24H",39.021583,-1.886556,1.099,,1.189,,13930
"GMOIL",39.022139,-1.882056,1.039,,1.139,,13369
"BENZINUM",39.060639,-1.836806,1.115,,1.225,,13852
"INPEALSA",39.016361,-1.893944,1.139,,1.229,,4417
"CEPSA",39.059806,-1.93325,1.225,,1.284,1.399,5173
"CEPSA",39.060528,-1.933056,1.225,,1.289,1.404,5174
"CEPSA",38.646833,-1.978917,1.225,0.829,1.279,,4794
"EL JUCAR",39.203167,-1.433222,1.199,,1.289,,8097
"CAMPSA",38.673111,-2.492222,1.199,,1.259,1.359,5241
"REPSOL",38.808528,-2.327639,1.199,,1.259,1.359,5134
"REPSOL",38.874583,-1.100528,1.199,,1.269,1.369,4877
"SHELL",38.875028,-1.17575,1.195,,1.284,1.424,4383
"CEPSA",38.871556,-1.108,1.225,,1.279,,4798
"CEPSA",38.859944,-1.08475,1.225,,1.279,,4788
"CEPSA",38.879167,-1.098889,1.225,,1.279,1.394,4872
"CEPSA",38.878278,-1.143722,1.225,,1.283,1.398,4799
"GASÓLEOS S. ALMANSA",38.874083,-1.089278,1.099,,,,11931
"E.S. BALAZOTE S.L.",38.878028,-2.150639,1.179,0.855,1.249,,4396
"COABA",39.051236,-2.192996,1.144,0.72,,,9254
"E.S. BARRAX S.L.",39.043139,-2.195139,1.179,0.855,1.249,1.395,4399
"MEROIL",38.516417,-2.617667,1.147,,1.267,,11364
"REPSOL",38.876111,-1.331611,1.219,,1.279,1.409,5269
"REPSOL",38.875861,-1.3315,1.219,,1.279,1.409,5268
"CAMPSA",38.953361,-2.535056,1.159,0.881,1.269,1.409,5282
"GASOLINERAS DEL REY",39.100792,-1.560857,1.199,0.7,1.279,,4390
"CARMONED",39.283944,-1.477806,1.189,0.809,1.289,1.389,5204
"ES CAUDETE",38.68275,-0.946306,1.129,,1.259,1.359,4405
"GALP",38.708944,-0.982111,1.189,,1.289,1.419,5323
"BP OIL",38.728889,-0.939444,1.199,,1.299,1.441,9293
"REPSOL",38.756417,-0.955833,1.219,0.894,1.279,1.409,4820
"PARGA I",38.727472,-0.943,1.199,,1.299,1.44,5142
"TRANSPORTES CAUDETE",38.710861,-0.974778,1.119,0.813,,,12471
"REPSOL",38.937583,-1.758,1.219,,1.279,1.409,5170
"REPSOL",38.938611,-1.757611,1.219,,1.279,1.409,5171
"PETRONOR",38.915972,-1.726278,1.205,,1.275,1.375,5230
"REPSOL",38.803389,-1.731861,1.209,,1.269,1.393,5196
"CEPSA",38.898306,-1.502806,1.229,,1.289,1.419,4800
"CEPSA",38.921583,-1.583694,1.225,,1.289,,4786
"CAMPSA",38.451306,-2.044778,1.209,0.898,1.269,1.409,5255
"Nº 7374",38.689833,-1.433306,,0.699,1.279,1.399,4422
"ES SAN ANTONIOABAD. FUENTEALBILLA",39.269972,-1.548639,1.129,0.729,1.229,,4403
"CAMPSA",39.107667,-1.990194,1.199,,1.269,1.399,5237
"REPSOL",39.086278,-1.963944,1.225,,1.285,1.415,4841
"CEPSA",39.238111,-1.635111,1.229,,1.279,1.395,4789
"PETRONOR",38.506806,-1.687833,1.199,,1.269,1.409,4831
"CEPSA",38.417306,-1.571667,1.225,,1.289,1.404,5312
"CARBURANTES GARCIA LOZANO",38.528306,-1.706972,1.169,,1.239,,4869
"IDS",38.545111,-1.705389,1.24,,,,11142
"PETROGAS",38.532389,-1.694889,1.128,,1.208,,13229
"E.S. MADRIGUERAS ",38.526528,-1.708944,1.129,,,,10171
"PETRONOR",38.641722,-1.844139,1.146,0.769,1.235,,5113
"REPSOL",38.524444,-1.703056,1.199,,1.269,1.409,5135
"BP",38.511222,-1.696972,1.199,,1.269,1.399,4423
"HELLIN GAS S.L.",38.495972,-1.636389,1.149,0.859,1.269,1.399,11181
"REPSOL",38.502889,-1.714556,1.199,,1.265,1.405,4806
"GALP",38.46425,-1.596722,1.189,,1.269,1.399,10575
"REPSOL",38.491861,-1.741111,1.199,0.898,1.269,1.409,5163
"E.S. SIERRA DEL SEGURA",38.356556,-2.111056,1.185,0.822,1.247,1.38,4393
"E.S. VIRGEN DE LA CRUZ",38.948472,-2.354861,1.189,,1.279,,4371
"REPSOL",39.233056,-1.799472,1.209,0.903,1.249,1.389,5232
"E.S. MADRIGUERAS",39.226611,-1.800611,1.149,,1.229,,10983
"REPSOL",39.276056,-2.330333,1.189,0.799,1.269,1.399,5277
"MONTGASOLEOS",38.79725,-1.31675,1.139,,1.129,,9312
"LOS CORRALES",38.785917,-1.33025,1.199,,1.279,,5202
"INPEALSA",39.043806,-2.485028,1.139,,1.239,,5213
"ONTALBA S. COOP DE C-LM",38.609556,-1.508333,1.08,0.709,,,11340
"REPSOL",38.967167,-2.7515,1.199,0.898,1.269,1.409,5270
"CEPSA",38.828806,-1.553694,1.229,0.829,1.283,,4791
"E.S. LEDAÑA ",38.805278,-1.736389,1.099,,,,11977
"REPSOL",38.717556,-1.91075,1.199,0.839,1.299,,5238
"SAT SANTA CRUZ DE POZO LORENTE",39.081278,-1.512611,1.099,0.715,,,12334
"INLOCOR S.L.",38.804722,-2.098778,1.189,0.859,1.259,1.389,4410
"CEPSA",38.493528,-2.411444,1.225,,1.279,1.394,4793
"CANOIL",38.771194,-2.450028,1.169,,1.239,,4370
"GASPLAY",39.218389,-2.158028,1.089,,1.189,,13480
"CEPSA",39.212861,-2.171778,1.225,,1.279,1.394,11279
"GALP",39.143972,-2.05125,1.219,,1.289,1.395,5317
"GALP",39.225,-2.186083,1.219,,1.289,1.395,5316
"CASA JUANITO RESTAURANTE",39.212361,-2.171028,1.214,,1.282,,4891
"REPSOL",39.201667,-2.149,1.209,,1.269,1.409,4894
"CAMPSA",39.213722,-2.156667,1.209,,1.269,1.409,5162
"REPSOL",39.212972,-2.166444,1.225,,1.285,1.415,11427
"NAVARRO Y VALERO, S.L",38.331361,-1.981861,1.189,0.869,1.269,1.399,4392
"REPSOL",39.25975,-1.911389,1.199,,1.259,,5284
"LA GAVIOTA GASOLINERAS",39.256194,-1.912194,1.076,,1.154,,12953
"NTRA. SRA. DE LA ENCARNACION",38.601722,-1.680833,1.089,,1.179,,13778
"SAN ROQUE DE TOBARRA S. COOP. DE C-LM",38.603306,-1.694083,1.08,0.73,,,12786
"REPSOL",38.602278,-1.680917,1.189,0.855,1.269,1.409,5219
"E.S. TOBARRA",38.594639,-1.685417,1.179,,1.259,1.389,11399
"Nº 15.526",39.131944,-1.679528,1.199,0.799,1.279,1.38,4391
"RESTAURANTE LAS POLAS",39.302389,-2.067639,1.159,,1.259,,4895
"REPSOL",39.366861,-1.592778,1.209,0.87,1.269,1.389,5258
"REPSOL",38.581722,-2.626222,1.199,0.879,1.299,1.399,4893
"REPSOL",39.258778,-2.586778,1.214,,1.269,1.378,11797
"ESTACIÓN DE SERVICIO AVENIDA DEL OESTE",39.27225,-2.617083,1.179,0.889,1.296,1.389,4368
"REPSOL",39.293722,-2.567139,1.199,,1.269,1.369,5167
"REPSOL",39.257528,-2.613778,1.199,0.899,1.269,1.369,5123
"CARREFOUR",39.285722,-2.579639,1.169,,1.259,1.369,4442
"REPSOL",39.278222,-2.602028,1.189,0.859,1.289,1.379,5305
"BP OIL ESPAÑA, S.A.",39.277056,-2.591722,1.179,,1.279,1.379,11976
"VEN Y VEN OIL",39.276944,-2.590028,1.155,,1.249,1.339,12015
"CEPSA",39.198,-2.713722,1.225,0.919,1.279,1.394,5184
"CEPSA",39.205194,-2.708528,1.225,,1.279,1.394,12146
"GALP",39.272056,-2.594111,1.177,,1.276,,5327
"CEPSA",39.261472,-2.599417,1.199,0.84,1.286,,4785
"CAMPSA",38.368278,-2.30225,,0.898,,,4439
"CEPSA",38.368667,-2.314667,1.225,,1.279,,4796
"PETRONOR",38.434417,-0.63725,1.199,0.908,1.299,,3683
"VALCARCE",38.429417,-0.66225,1.229,0.823,1.309,1.42,9478
