"name","lat","lon","gasoA","gasoB","gas95","gas98","id"
"PREMIRA ENERGIA NORTE, S.L.",42.846028,-2.509361,1.129,0.726,,,9381
"ESTACIONES GB",43.044333,-2.989111,1.089,,1.179,1.299,13543
"CEPSA",43.031889,-2.967611,1.153,,1.224,1.339,45
"CEPSA",42.941417,-2.639528,1.154,,1.226,1.341,43
"AVIA",42.876861,-2.616361,1.149,,1.229,1.329,16
"AVIA ",43.123361,-3.122528,1.129,0.819,1.219,1.319,5
"CEPSA",42.866417,-2.278694,1.119,,1.179,,50
"PETRONOR",42.670222,-2.357278,1.079,0.8,1.2,,114
"REPSOL",42.878556,-2.518167,1.179,,1.239,1.363,100
"PETRONIEVES",42.82525,-2.77475,1.008,0.832,,,13757
"GAS NATURAL FENOSA",42.824389,-2.770694,,,,,13427
"EUROCAM",42.823778,-2.77225,1.019,,1.12,,11732
"REPSOL",42.635194,-2.849833,1.119,0.866,1.209,1.349,51
"REPSOL",42.547639,-2.578806,1.119,0.866,1.209,,83
"AVIA",42.755583,-3.04575,1.04,,1.15,,24
"EROSKI",43.138,-2.968,1.109,,1.159,1.243,32
"PETRONOR",43.148639,-2.951361,1.159,,1.209,1.349,88
"E.S. OION",42.490611,-2.432278,1.149,0.829,1.209,1.349,12419
"E.S. TOCALU S.L.",42.81125,-2.901944,1.089,0.739,1.209,,148
"PETRONOR",42.741361,-2.913222,1.189,,1.259,1.379,107
"PETRONOR",42.743111,-2.913306,1.189,,1.259,1.379,106
"EESS ROMPETROL",42.692917,-2.920667,1.169,,1.219,1.319,11651
"EROSKI",42.704639,-2.917639,1.01,,1.14,1.17,33
"SHELL",42.710639,-2.906944,1.183,,1.249,,8374
"ALAVESA",42.852694,-2.379083,1.059,0.739,1.169,,13950
"GALP",42.848944,-2.394583,1.129,0.839,1.199,1.299,66
"IS-XXI",42.863583,-2.324083,1.189,0.878,1.241,,12644
"ANDAMUR ""SAN ROMAN""",42.8635,-2.320361,1.159,0.878,1.221,1.341,11
"VALCARCE",42.871167,-2.314083,1.149,,,,12266
"REPSOL",42.849778,-2.648306,1.149,,1.229,1.329,142
"GALP",42.836778,-2.698917,1.114,,1.209,1.339,26
"ARMENTIA",42.837111,-2.700972,1.059,,1.179,,13064
"REPSOL",42.842833,-2.682278,1.159,,1.239,1.349,133
"CEPSA",42.852417,-2.709972,1.159,,1.231,1.346,11010
"EROSKI",42.854694,-2.708611,1.049,,1.169,,12997
"CEPSA",42.849028,-2.693722,1.159,,1.231,1.346,8125
"AVIA",42.864944,-2.7105,1.139,,1.219,1.318,22
"ONAINDIA",42.857194,-2.716389,1.145,0.79,1.215,1.315,12105
"AVIA",42.863778,-2.712722,1.159,,1.229,1.329,12416
"REPSOL",42.838722,-2.6645,1.159,,1.239,1.349,47
"CEPSA",42.836833,-2.658222,1.154,,1.226,1.341,56
