"name","lat","lon","gasoA","gasoB","gas95","gas98","id"
"REPSOL",42.846028,-2.509361,1.149,0.726,,,9381
"ESTACIONES GB",43.044333,-2.989111,1.089,,1.199,1.299,13543
"CEPSA",43.031889,-2.967611,1.149,,1.259,1.374,45
"(SIN RÓTULO)",42.753194,-2.477917,1.065,,1.215,1.295,8060
"AVIA",42.876861,-2.616361,1.169,,1.269,1.369,16
"CEPSA",42.941417,-2.639528,1.159,,1.249,1.364,43
"AVIA ",43.123361,-3.122528,1.145,0.805,1.245,1.355,5
"ADS",42.870861,-2.312056,1.077,,,,12441
"CEPSA",42.866417,-2.278694,1.119,,1.199,,50
"PETRONOR",42.670222,-2.357278,1.099,0.8,1.229,,114
"REPSOL",42.878556,-2.518167,1.189,,1.289,1.413,100
"PETRONIEVES",42.82525,-2.77475,1.009,0.832,,,13757
"EUROCAM",42.823778,-2.77225,1.021,,1.12,,11732
"GAS NATURAL FENOSA",42.824389,-2.770694,,,,,13427
"REPSOL",42.635194,-2.849833,1.159,0.865,1.269,1.409,51
"REPSOL",42.547639,-2.578806,1.129,0.865,1.229,,83
"AVIA",42.755583,-3.04575,1.03,,1.15,,24
"PETRONOR",43.148639,-2.951361,1.159,,1.279,1.419,88
"EROSKI",43.138,-2.968,1.109,,1.229,1.243,32
"E.S. OION",42.490611,-2.432278,1.129,0.829,1.219,1.339,12419
"E.S. TOCALU S.L.",42.81125,-2.901944,1.089,0.739,1.209,,148
"PETRONOR",42.741361,-2.913222,1.185,,1.275,1.395,107
"PETRONOR",42.743111,-2.913306,1.185,,1.275,1.395,106
"EESS ROMPETROL",42.692917,-2.920667,1.155,,1.219,1.329,11651
"SHELL",42.710639,-2.906944,1.185,,1.289,,8374
"EROSKI",42.704639,-2.917639,1.02,,1.16,1.17,33
"GALP",42.848944,-2.394583,1.139,0.859,1.239,1.339,66
"ALAVESA",42.852694,-2.379083,1.069,0.809,1.199,,13950
"IS-XXI",42.863583,-2.324083,1.185,0.862,1.261,,12644
"VALCARCE",42.871167,-2.314083,1.149,,,,12266
"ANDAMUR ""SAN ROMAN""",42.8635,-2.320361,1.169,0.877,1.28,1.401,11
"EDP",42.860083,-2.703306,,,,,13549
"EROSKI",42.860306,-2.664278,1.009,,1.139,,34
"EROSKI",42.854694,-2.708611,1.009,,1.139,,12997
"REPSOL",42.842833,-2.682278,1.169,,1.269,1.379,133
"AVIA",42.863778,-2.712722,1.169,,1.269,1.369,12416
"AVIA",42.895667,-2.702278,1.169,,1.269,1.369,3
"GALP",42.836778,-2.698917,1.129,,1.233,1.333,26
"SHELL",42.864694,-2.653139,1.179,,1.259,1.399,10163
"SHELL",42.865278,-2.661139,1.189,,1.269,1.409,9927
"BP  VITORIA",42.856194,-2.656861,1.159,,1.249,1.392,11531
"AVIA",42.864944,-2.7105,1.145,,1.235,1.348,22
"ARMENTIA",42.837111,-2.700972,1.019,,1.149,,13064
"IBAIA ENERGY",42.829528,-2.722278,1.059,,1.159,,41
"CEPSA",42.849028,-2.693722,1.159,,1.249,1.364,8125
"CEPSA ",42.818944,-2.778694,1.185,,1.289,1.419,42
"REPSOL",42.838722,-2.6645,1.169,,1.259,1.379,47
"ESASA",42.855,-2.672944,1.109,,1.199,1.309,7983
"CEPSA",42.836833,-2.658222,1.159,,1.249,1.364,56
"CEPSA",42.852417,-2.709972,1.159,,1.249,1.364,11010
"CEPSA",42.845639,-2.741917,1.159,,1.249,,11090
"ONAINDIA",42.868611,-2.678833,1.163,,1.253,1.363,12104
"ONAINDIA",42.857194,-2.716389,1.163,0.75,1.253,1.363,12105
"PETRONOR",42.859278,-2.661694,1.169,,1.279,1.379,59
"REPSOL",42.878694,-2.714472,1.195,0.86,1.299,1.419,49
"REPSOL",42.852722,-2.632167,1.169,,1.279,1.379,131
"PETRONOR",42.857472,-2.721583,1.179,,1.259,1.359,136
"REPSOL",42.877139,-2.712472,1.195,0.87,1.299,1.419,48
"REPSOL",42.864667,-2.660222,1.169,,1.279,1.379,141
"REPSOL",42.849778,-2.648306,1.169,,1.279,1.379,142
"CEPSA",42.961583,-2.827722,1.159,,1.269,1.384,120
"REPSOL",42.966472,-2.873583,1.185,,1.275,1.395,105
"PETRONOR",42.966111,-2.870083,1.185,,1.275,1.395,104
"Nº 10.935",39.211417,-1.539167,1.149,0.669,1.223,,4375
"REPSOL",39.100389,-1.346083,1.179,,1.279,,5122
"CEPSA",38.98925,-1.849028,1.189,,,1.389,5313
"CEPSA",38.923889,-1.915694,1.199,,1.279,1.402,4797
"CEPSA",38.970167,-1.919778,1.199,,1.279,1.399,11048
"REPSOL",38.994667,-1.871722,1.169,,1.259,1.379,5245
"SHELL",39.054694,-1.832,1.149,0.739,1.219,1.334,12054
"REPSOL",38.988111,-1.883694,1.179,,1.249,1.379,5222
"REPSOL",38.925833,-2.031861,1.179,0.875,1.279,1.425,5116
"LA PULGOSA",38.963972,-1.875944,1.107,,1.237,1.377,4372
"LOZANO",38.867556,-1.9205,1.137,0.68,1.227,1.337,4394
"ALCAMPO",39.009639,-1.878111,1.02,,1.131,1.25,9601
"FAST & GAS",39.009417,-1.885694,1.089,,1.189,,12763
"AB OIL",39.021778,-1.886278,1.089,,1.169,1.339,4413
"VALERO 24H",39.021583,-1.886556,1.089,,1.179,,13930
"GHC ",39.000861,-1.849833,1.049,,1.159,,13933
"TAMOS",39.003333,-1.864917,1.149,,1.229,1.359,4369
"E.S.",39.012472,-1.889417,1.059,,,,10129
"CEPSA",38.984139,-1.847083,1.199,,1.265,,4795
"LOS ANGELES DE LA MANCHA, S.L.",38.971722,-1.845278,1.189,,1.259,1.399,9546
"LOS ANGELES DE LA MANCHA",38.971778,-1.845306,1.189,,1.259,1.399,11297
"REPSOL",39.027778,-1.892972,1.209,,1.285,1.395,5208
"PETROCAMP",38.985194,-1.866806,1.089,,,,5318
"INLOCOR S.L. ""CEPSA""",38.998111,-1.831611,1.199,0.849,1.269,1.399,4790
"REPSOL",39.031528,-1.891361,1.209,,1.285,1.395,11087
"REPSOL",38.900944,-1.994028,1.189,0.865,1.259,1.389,5272
"REPSOL",39.012583,-1.874972,1.195,,1.249,1.389,5191
"INPEALSA",38.998222,-1.869889,1.109,,1.219,,4415
"INPEALSA",38.982167,-1.853306,1.109,,1.219,,4416
"INPEALSA",39.016361,-1.893944,1.099,,1.209,,4417
"INPEALSA",38.929389,-1.831639,1.099,,1.209,,5129
"REPSOL",38.999722,-1.854556,1.189,,1.259,1.399,5195
"BENZINUM",39.060639,-1.836806,1.089,,1.219,,13852
"ENERCOM CARBURANTES",39.018,-1.874333,1.129,,1.209,1.349,12801
