"name","lat","lon","gasoA","gasoB","gas95","gas98","id"
"PREMIRA ENERGIA NORTE, S.L.",42.846028,-2.509361,1.119,0.726,,,9381
"ESTACIONES GB",43.044333,-2.989111,1.069,,1.169,1.299,13543
"CEPSA",43.031889,-2.967611,1.139,,1.224,1.339,45
"(SIN RÓTULO)",42.753194,-2.477917,1.075,,1.215,1.295,8060
"CEPSA",42.941417,-2.639528,1.139,,1.225,1.34,43
"AVIA",42.876861,-2.616361,1.139,,1.229,1.329,16
"AVIA ",43.123361,-3.122528,1.129,0.819,1.209,1.309,5
"ADS",42.870861,-2.312056,1.09,,,,12441
"CEPSA",42.866417,-2.278694,1.109,,1.189,,50
"PETRONOR",42.670222,-2.357278,1.079,0.8,1.2,,114
"REPSOL",42.878556,-2.518167,1.179,,1.239,1.363,100
"PETRONIEVES",42.82525,-2.77475,1.009,0.832,,,13757
"GAS NATURAL FENOSA",42.824389,-2.770694,,,,,13427
"EUROCAM",42.823778,-2.77225,1.019,,1.12,,11732
"REPSOL",42.635194,-2.849833,1.105,0.851,1.179,1.319,51
"REPSOL",42.547639,-2.578806,1.119,0.851,1.209,,83
"AVIA",42.755583,-3.04575,1.04,,1.15,,24
"PETRONOR",43.148639,-2.951361,1.119,,1.209,1.349,88
"EROSKI",43.138,-2.968,1.069,,1.159,1.243,32
"E.S. OION",42.490611,-2.432278,1.139,0.829,1.239,1.299,12419
"E.S. TOCALU S.L.",42.81125,-2.901944,1.089,0.739,1.209,,148
"PETRONOR",42.741361,-2.913222,1.179,,1.259,1.369,107
"PETRONOR",42.743111,-2.913306,1.179,,1.259,1.369,106
"SHELL",42.710639,-2.906944,1.169,,1.229,,8374
"EESS ROMPETROL",42.692917,-2.920667,1.159,,1.209,1.309,11651
"EROSKI",42.704639,-2.917639,1,,1.13,1.17,33
"ALAVESA",42.852694,-2.379083,1.069,0.749,1.179,,13950
"GALP",42.848944,-2.394583,1.109,0.823,1.189,1.289,66
"IS-XXI",42.863583,-2.324083,1.179,0.856,1.211,,12644
"VALCARCE",42.871167,-2.314083,1.129,,,,12266
"ANDAMUR ""SAN ROMAN""",42.8635,-2.320361,1.139,0.863,1.221,1.361,11
"REPSOL",42.849778,-2.648306,1.139,,1.229,1.329,142
"GALP",42.836778,-2.698917,1.118,,1.199,1.344,26
"ARMENTIA",42.837111,-2.700972,1.059,,1.159,,13064
"REPSOL",42.842833,-2.682278,1.129,,1.219,1.339,133
"CEPSA",42.852417,-2.709972,1.139,,1.225,1.34,11010
"AVIA",42.863778,-2.712722,1.139,,1.229,1.329,12416
"AVIA",42.864944,-2.7105,1.119,,1.207,1.308,22
"EROSKI",42.854694,-2.708611,1.049,,1.149,,12997
"ONAINDIA",42.857194,-2.716389,1.119,0.79,1.205,1.315,12105
"CEPSA",42.849028,-2.693722,1.154,,1.229,1.344,8125
"REPSOL",42.838722,-2.6645,1.129,,1.209,1.339,47
"CEPSA",42.836833,-2.658222,1.139,,1.225,1.34,56
"REPSOL",42.864667,-2.660222,1.139,,1.229,1.329,141
"EROSKI",42.860306,-2.664278,1.049,,1.149,,34
"ESASA",42.855,-2.672944,1.079,,1.169,1.289,7983
"SHELL",42.864694,-2.653139,1.129,,1.215,1.355,10163
"SHELL",42.865278,-2.661139,1.139,,1.225,1.365,9927
"PETRONOR",42.859278,-2.661694,1.139,,1.229,1.329,59
"ONAINDIA",42.868611,-2.678833,1.119,,1.205,1.315,12104
"PETRONOR",42.857472,-2.721583,1.129,,1.219,1.329,136
"REPSOL",42.852722,-2.632167,1.139,,1.229,1.329,131
"EDP",42.860083,-2.703306,,,,,13549
"CEPSA ",42.818944,-2.778694,1.179,,1.229,1.369,42
"IBAIA ENERGY",42.829528,-2.722278,1.059,,1.179,,41
"AVIA",42.895667,-2.702278,1.139,,1.229,1.329,3
"REPSOL",42.877139,-2.712472,1.179,0.856,1.239,1.379,48
"REPSOL",42.878694,-2.714472,1.179,0.846,1.239,1.379,49
"REPSOL",42.966472,-2.873583,1.179,,1.259,1.369,105
"PETRONOR",42.966111,-2.870083,1.179,,1.259,1.369,104
"CEPSA",42.961583,-2.827722,1.154,,1.228,1.343,120
"Nº 10.935",39.211417,-1.539167,1.169,0.729,1.243,,4375
"REPSOL",39.100389,-1.346083,1.189,,1.279,1.459,5122
"GHC ",39.000861,-1.849833,1.089,,1.189,,13933
"CARREFOUR",38.985667,-1.8685,1.149,,1.229,1.359,10765
"SHELL",39.054694,-1.832,1.155,0.755,1.239,1.355,12054
"TAMOS",39.003333,-1.864917,1.149,,1.219,1.359,4369
"CEPSA",39.005083,-1.859917,1.149,,1.219,1.359,14123
"REPSOL",38.999722,-1.854556,1.169,,1.239,1.379,5195
"CEPSA",38.98925,-1.849028,1.179,,,1.369,5313
"REPSOL",38.925833,-2.031861,1.169,0.885,1.269,1.405,5116
"LA PULGOSA",38.963972,-1.875944,1.157,,1.247,1.377,4372
"CEPSA",38.984139,-1.847083,1.179,,1.239,,4795
"REPSOL",38.988111,-1.883694,1.159,,1.239,1.369,5222
"REPSOL",39.033139,-1.845083,1.169,,1.219,1.359,5289
"REPSOL",39.027778,-1.892972,1.159,,1.259,1.399,5208
"REPSOL",39.012583,-1.874972,1.159,,1.229,1.369,5191
"EROSKI",38.988972,-1.847361,1.069,,1.169,1.28,4428
"REPSOL",38.994667,-1.871722,1.159,,1.249,1.359,5245
"INPEALSA",38.998222,-1.869889,1.099,,1.199,,4415
"INPEALSA",38.982167,-1.853306,1.099,,1.199,,4416
"INPEALSA",38.929389,-1.831639,1.099,,1.209,,5129
"CEPSA",38.970167,-1.919778,1.185,,1.249,1.399,11048
"REPSOL",38.900944,-1.994028,1.149,0.851,1.229,1.359,5272
"LOZANO",38.867556,-1.9205,1.147,0.735,1.237,1.357,4394
"CEPSA",38.923889,-1.915694,1.199,,1.269,1.402,4797
"REPSOL",39.031528,-1.891361,1.199,,1.259,1.359,11087
"E.S.",39.012472,-1.889417,1.089,,,,10129
"GMOIL",39.022139,-1.882056,1.039,,1.139,,13369
"FAST & GAS",39.009417,-1.885694,1.089,,1.199,,12763
"AB OIL",39.021778,-1.886278,1.088,,1.179,1.339,4413
"BENZINUM",39.060639,-1.836806,1.109,,1.209,,13852
"INPEALSA",39.016361,-1.893944,1.099,,1.199,,4417
"ALCAMPO",39.009639,-1.878111,1.039,,1.139,1.25,9601
"INLOCOR S.L. ""CEPSA""",38.998111,-1.831611,1.179,0.849,1.249,1.369,4790
"ENERCOM CARBURANTES",39.018,-1.874333,1.139,,1.209,1.339,12801
"CEPSA",39.015444,-1.871361,1.159,,1.229,1.359,13620
"LOS ANGELES DE LA MANCHA, S.L.",38.971722,-1.845278,1.159,,1.239,1.379,9546
"LOS ANGELES DE LA MANCHA",38.971778,-1.845306,1.159,,1.239,1.379,11297
"VALERO 24H",39.021583,-1.886556,1.089,,1.189,,13930
"CEPSA",39.059806,-1.93325,1.183,,1.256,1.371,5173
"CEPSA",39.060528,-1.933056,1.186,,1.269,1.384,5174
"CEPSA",38.646833,-1.978917,1.199,0.839,1.269,,4794
"EL JUCAR",39.203167,-1.433222,1.169,,1.259,,8097
"CAMPSA",38.673111,-2.492222,1.169,,1.219,1.339,5241
"REPSOL",38.808528,-2.327639,1.169,,1.219,1.339,5134
"SHELL",38.875028,-1.17575,1.163,,1.258,1.398,4383
"CEPSA",38.879167,-1.098889,1.183,,1.249,1.364,4872
"CEPSA",38.859944,-1.08475,1.183,,1.249,,4788
"CEPSA",38.871556,-1.108,1.183,,1.249,,4798
"REPSOL",38.874583,-1.100528,1.169,,1.249,1.349,4877
"CEPSA",38.878278,-1.143722,1.183,,1.269,1.384,4799
"GASOLINERA LOW COST",38.850278,-1.027694,1.099,0.739,1.189,,14129
"GASÓLEOS S. ALMANSA",38.874083,-1.089278,1.099,,,,11931
"E.S. BALAZOTE S.L.",38.878028,-2.150639,1.149,0.855,1.269,,4396
"COABA",39.051236,-2.192996,1.12,0.709,,,9254
"E.S. BARRAX S.L.",39.043139,-2.195139,1.149,0.855,1.269,1.395,4399
"MEROIL",38.516417,-2.617667,1.139,,1.257,,11364
"REPSOL",38.876111,-1.331611,1.199,,1.259,1.359,5269
"REPSOL",38.875861,-1.3315,1.199,,1.259,1.359,5268
"CAMPSA",38.953361,-2.535056,1.159,0.852,1.249,1.389,5282
"GASOLINERAS DEL REY",39.100792,-1.560857,1.179,0.75,1.249,,4390
"CARMONED",39.283944,-1.477806,1.159,0.779,1.249,1.349,5204
"ES CAUDETE",38.68275,-0.946306,1.129,,1.249,1.359,4405
"TRANSPORTES CAUDETE",38.710861,-0.974778,1.119,0.813,,,12471
"REPSOL",38.756417,-0.955833,1.199,0.848,1.259,1.359,4820
"GALP",38.708944,-0.982111,1.179,,1.259,1.419,5323
"BP OIL",38.721917,-0.933861,1.169,,1.269,1.414,9293
"PARGA I",38.727472,-0.943,1.159,,1.239,1.379,5142
"REPSOL",38.937583,-1.758,1.199,,1.259,1.359,5170
"REPSOL",38.938611,-1.757611,1.199,,1.259,1.359,5171
"PETRONOR",38.915972,-1.726278,1.179,,1.239,1.349,5230
"REPSOL",38.803389,-1.731861,1.179,,1.249,1.373,5196
"CEPSA",38.921583,-1.583694,1.186,,1.269,,4786
"CEPSA",38.898306,-1.502806,1.189,,1.269,1.399,4800
"CAMPSA",38.451306,-2.044778,1.189,0.852,1.249,1.389,5255
"Nº 7374",38.689833,-1.433306,,0.709,1.259,1.399,4422
"ES SAN ANTONIOABAD. FUENTEALBILLA",39.269972,-1.548639,1.109,0.719,1.219,,4403
"REPSOL",39.086278,-1.963944,1.199,,1.259,1.359,4841
"CAMPSA",39.107667,-1.990194,1.169,,1.229,1.369,5237
"CEPSA",39.238111,-1.635111,1.185,,1.245,1.359,4789
"GALP",38.46425,-1.596722,1.169,,1.249,1.379,10575
"PETRONOR",38.641722,-1.844139,1.137,0.769,1.247,,5113
"REPSOL",38.502889,-1.714556,1.169,,1.249,1.379,4806
"PETRONOR",38.506806,-1.687833,1.169,,1.249,1.379,4831
"REPSOL",38.524444,-1.703056,1.169,,1.249,1.379,5135
"IDS",38.545111,-1.705389,1.224,,,,11142
"PETROGAS",38.532389,-1.694889,1.098,,1.198,,13229
