"name","lat","lon","gasoA","gasoB","gas95","gas98","id"
"PREMIRA ENERGIA NORTE, S.L.",42.846028,-2.509361,1.149,0.726,,,9381
"ESTACIONES GB",43.044333,-2.989111,1.109,,1.209,1.299,13543
"CEPSA",43.031889,-2.967611,1.169,,1.259,1.374,45
"(SIN RÓTULO)",42.753194,-2.477917,1.095,,1.23,1.305,8060
"CEPSA",42.941417,-2.639528,1.169,,1.259,1.374,43
"AVIA",42.876861,-2.616361,1.169,,1.259,1.359,16
"AVIA ",43.123361,-3.122528,1.149,0.829,1.249,1.359,5
"ADS",42.870861,-2.312056,1.115,,,,12441
"CEPSA",42.866417,-2.278694,1.139,,1.219,,50
"PETRONOR",42.670222,-2.357278,1.099,0.82,1.229,,114
"REPSOL",42.878556,-2.518167,1.209,,1.269,1.393,100
"PETRONIEVES",42.82525,-2.77475,1.037,0.852,,,13757
"GAS NATURAL FENOSA",42.824389,-2.770694,,,,,13427
"EUROCAM",42.823778,-2.77225,1.047,,1.15,,11732
"REPSOL",42.635194,-2.849833,1.149,0.883,1.249,1.389,51
"REPSOL",42.547639,-2.578806,1.139,0.883,1.239,,83
"AVIA",42.755583,-3.04575,1.04,,1.14,,24
"PETRONOR",43.148639,-2.951361,1.139,,1.259,1.399,88
"EROSKI",43.138,-2.968,1.089,,1.209,1.243,32
"E.S. OION",42.490611,-2.432278,1.129,0.829,1.219,1.349,12419
"E.S. TOCALU S.L.",42.81125,-2.901944,1.089,0.739,1.209,,148
"PETRONOR",42.741361,-2.913222,1.209,,1.289,1.429,107
"PETRONOR",42.743111,-2.913306,1.209,,1.289,1.429,106
"EROSKI",42.704639,-2.917639,1.01,,1.13,1.17,33
"EESS ROMPETROL",42.692917,-2.920667,1.169,,1.219,1.319,11651
"SHELL",42.710639,-2.906944,1.199,,1.269,,8374
"GALP",42.848944,-2.394583,1.139,0.853,1.229,1.329,66
"ALAVESA",42.852694,-2.379083,1.079,0.769,1.189,,13950
"IS-XXI",42.863583,-2.324083,1.209,0.895,1.251,,12644
"VALCARCE",42.871167,-2.314083,1.169,,,,12266
"ANDAMUR ""SAN ROMAN""",42.8635,-2.320361,1.169,0.895,1.251,1.371,11
"REPSOL",42.849778,-2.648306,1.169,,1.259,1.359,142
"ARMENTIA",42.837111,-2.700972,1.079,,1.199,,13064
"GALP",42.836778,-2.698917,1.144,,1.235,1.374,26
"REPSOL",42.842833,-2.682278,1.179,,1.249,1.369,133
"CEPSA",42.852417,-2.709972,1.169,,1.259,1.374,11010
"ONAINDIA",42.857194,-2.716389,1.14,0.79,1.235,1.335,12105
"AVIA",42.863778,-2.712722,1.169,,1.259,1.359,12416
"AVIA",42.864944,-2.7105,1.157,,1.245,1.348,22
"CEPSA",42.849028,-2.693722,1.174,,1.259,1.374,8125
"EROSKI",42.854694,-2.708611,1.069,,1.189,,12997
"REPSOL",42.838722,-2.6645,1.179,,1.249,1.369,47
"CEPSA",42.836833,-2.658222,1.169,,1.259,1.374,56
"REPSOL",42.864667,-2.660222,1.169,,1.259,1.359,141
"ESASA",42.855,-2.672944,1.119,,1.199,1.319,7983
"PETRONOR",42.859278,-2.661694,1.169,,1.259,1.359,59
"BP  VITORIA",42.856194,-2.656861,1.159,,1.26,1.401,11531
"ONAINDIA",42.868611,-2.678833,1.14,,1.235,1.335,12104
"SHELL",42.864694,-2.653139,1.159,,1.249,1.389,10163
"SHELL",42.865278,-2.661139,1.169,,1.259,1.399,9927
"EROSKI",42.860306,-2.664278,1.069,,1.155,,34
"PETRONOR",42.857472,-2.721583,1.169,,1.259,1.369,136
"REPSOL",42.852722,-2.632167,1.169,,1.259,1.359,131
"EDP",42.860083,-2.703306,,,,,13549
"CEPSA ",42.818944,-2.778694,1.209,,1.269,1.389,42
"IBAIA ENERGY",42.829528,-2.722278,1.089,,1.219,,41
"AVIA",42.895667,-2.702278,1.169,,1.259,1.359,3
"REPSOL",42.877139,-2.712472,1.209,0.888,1.269,1.389,48
"REPSOL",42.878694,-2.714472,1.209,0.878,1.269,1.389,49
"REPSOL",42.966472,-2.873583,1.209,,1.289,1.429,105
"PETRONOR",42.966111,-2.870083,1.209,,1.289,1.429,104
"CEPSA",42.961583,-2.827722,1.179,,1.269,1.384,120
"Nº 10.935",39.211417,-1.539167,1.169,0.729,1.243,,4375
"REPSOL",39.100389,-1.346083,1.199,,1.279,1.459,5122
"SHELL",39.054694,-1.832,1.185,0.775,1.249,1.355,12054
"CARREFOUR",38.985667,-1.8685,1.169,,1.259,1.369,10765
"GHC ",39.000861,-1.849833,1.089,,1.199,,13933
"REPSOL",38.999722,-1.854556,1.199,,1.269,1.409,5195
"CEPSA",39.005083,-1.859917,1.189,,1.259,1.369,14123
"TAMOS",39.003333,-1.864917,1.189,,1.259,1.369,4369
"CEPSA",38.98925,-1.849028,1.209,,,1.399,5313
"EROSKI",38.988972,-1.847361,1.069,,1.179,1.289,4428
"REPSOL",38.925833,-2.031861,1.199,0.915,1.309,1.445,5116
"REPSOL",38.994667,-1.871722,1.189,,1.279,1.399,5245
"REPSOL",39.012583,-1.874972,1.209,,1.269,1.409,5191
"REPSOL",39.027778,-1.892972,1.209,,1.285,1.425,5208
"REPSOL",39.033139,-1.845083,1.189,,1.259,1.399,5289
"LA PULGOSA",38.963972,-1.875944,1.187,,1.287,1.377,4372
"REPSOL",38.988111,-1.883694,1.199,,1.279,1.409,5222
"INPEALSA",38.998222,-1.869889,1.129,,1.229,,4415
"PETROCAMP",38.985194,-1.866806,1.119,,,,5318
"CEPSA",38.984139,-1.847083,1.214,,1.283,,4795
"INPEALSA",38.982167,-1.853306,1.129,,1.229,,4416
"INPEALSA",38.929389,-1.831639,1.129,,1.229,,5129
"CEPSA",38.970167,-1.919778,1.214,,1.283,1.399,11048
"REPSOL",38.900944,-1.994028,1.209,0.883,1.259,1.389,5272
"LOZANO",38.867556,-1.9205,1.167,0.735,1.257,1.357,4394
"CEPSA",38.923889,-1.915694,1.224,,1.294,1.402,4797
"ENERCOM CARBURANTES",39.018,-1.874333,1.159,,1.239,1.369,12801
"FAST & GAS",39.009417,-1.885694,1.109,,1.209,,12763
"BENZINUM",39.060639,-1.836806,1.119,,1.219,,13852
"ALCAMPO",39.009639,-1.878111,1.039,,1.149,1.259,9601
"CEPSA",39.015444,-1.871361,1.199,,1.269,1.399,13620
